IL6782 ,Formula cost: ,84,028.43, coston:, 41,415.68 , contpf: ,86.45, Rango Inicial,  37685, final, 44164
IL6782 ,Formula cost: ,58,788.42, coston:, 69,474.94 , contpf: ,94.87, Rango Inicial,  44164, final, 45938
IL6782 ,Formula cost: ,65,554.72, coston:, 64,179.51 , contpf: ,95.18, Rango Inicial,  45938, final, 55951
IL6782 ,Formula cost: ,98,799.80, coston:, 69,666.24 , contpf: ,98.52, Rango Inicial,  55951, final, 59457
IL6782 ,Formula cost: ,122,950.65, coston:, 138,620.16 , contpf: ,100.91, Rango Inicial,  59457, final, 67153
IL6782 ,Formula cost: ,197,691.83, coston:, 72,918.72 , contpf: ,102.85, Rango Inicial,  67153, final, 75261
IL6782 ,Formula cost: ,34,183.95, coston:, 67,327.68 , contpf: ,103.16, Rango Inicial,  3885, final, 13962
IL6782 ,Formula cost: ,5,158.11, coston:, 105,745.32 , contpf: ,106.03, Rango Inicial,  13962, final, 31825
IL6782 ,Formula cost: ,75,066.57, coston:, 110,033.28 , contpf: ,107.87, Rango Inicial,  31825, final, 37685
IL6782 ,Formula cost: ,84,028.43, coston:, 41,415.68 , contpf: ,86.45, Rango Inicial,  37685, final, 44164
IL6782 ,Formula cost: ,58,788.42, coston:, 69,474.94 , contpf: ,94.87, Rango Inicial,  44164, final, 45938
IL6782 ,Formula cost: ,65,554.72, coston:, 64,179.51 , contpf: ,95.18, Rango Inicial,  45938, final, 55951
IL6782 ,Formula cost: ,98,799.80, coston:, 69,666.24 , contpf: ,98.52, Rango Inicial,  55951, final, 59457
IL6782 ,Formula cost: ,122,950.65, coston:, 138,620.16 , contpf: ,100.91, Rango Inicial,  59457, final, 67153
IL6782 ,Formula cost: ,197,691.83, coston:, 72,918.72 , contpf: ,102.85, Rango Inicial,  67153, final, 75261
IL6782 ,Formula cost: ,34,183.95, coston:, 67,327.68 , contpf: ,103.16, Rango Inicial,  3885, final, 13962
IL6782 ,Formula cost: ,5,158.11, coston:, 105,745.32 , contpf: ,106.03, Rango Inicial,  13962, final, 31825
IL6782 ,Formula cost: ,75,066.57, coston:, 110,033.28 , contpf: ,107.87, Rango Inicial,  31825, final, 37685
IL6782 ,Formula cost: ,84,028.43, coston:, 41,415.68 , contpf: ,86.45, Rango Inicial,  37685, final, 44164
IL6782 ,Formula cost: ,58,788.42, coston:, 69,474.94 , contpf: ,94.87, Rango Inicial,  44164, final, 45938
IL6782 ,Formula cost: ,65,554.72, coston:, 64,179.51 , contpf: ,95.18, Rango Inicial,  45938, final, 55951
IL6782 ,Formula cost: ,98,799.80, coston:, 69,666.24 , contpf: ,98.52, Rango Inicial,  55951, final, 59457
IL6782 ,Formula cost: ,122,950.65, coston:, 138,620.16 , contpf: ,100.91, Rango Inicial,  59457, final, 67153
IL6782 ,Formula cost: ,197,691.83, coston:, 72,918.72 , contpf: ,102.85, Rango Inicial,  67153, final, 75261
IL6782 ,Formula cost: ,34,183.95, coston:, 67,327.68 , contpf: ,103.16, Rango Inicial,  3885, final, 13962
IL6782 ,Formula cost: ,5,158.11, coston:, 105,745.32 , contpf: ,106.03, Rango Inicial,  13962, final, 31825
IL6782 ,Formula cost: ,75,066.57, coston:, 110,033.28 , contpf: ,107.87, Rango Inicial,  31825, final, 37685
IL6782 ,Formula cost: ,84,028.43, coston:, 41,415.68 , contpf: ,86.45, Rango Inicial,  37685, final, 44164
IL6782 ,Formula cost: ,58,788.42, coston:, 69,474.94 , contpf: ,94.87, Rango Inicial,  44164, final, 45938
IL6782 ,Formula cost: ,65,554.72, coston:, 64,179.51 , contpf: ,95.18, Rango Inicial,  45938, final, 55951
IL6782 ,Formula cost: ,98,799.80, coston:, 69,666.24 , contpf: ,98.52, Rango Inicial,  55951, final, 59457
IL6782 ,Formula cost: ,122,950.65, coston:, 138,620.16 , contpf: ,100.91, Rango Inicial,  59457, final, 67153
IL6782 ,Formula cost: ,197,691.83, coston:, 72,918.72 , contpf: ,102.85, Rango Inicial,  67153, final, 75261
IL6782 ,Formula cost: ,34,183.95, coston:, 67,327.68 , contpf: ,103.16, Rango Inicial,  3885, final, 13962
IL6782 ,Formula cost: ,5,158.11, coston:, 105,745.32 , contpf: ,106.03, Rango Inicial,  13962, final, 31825
IL6782 ,Formula cost: ,75,066.57, coston:, 110,033.28 , contpf: ,107.87, Rango Inicial,  31825, final, 37685
IL6782 ,Formula cost: ,84,028.43, coston:, 41,415.68 , contpf: ,86.45, Rango Inicial,  37685, final, 44164
IL6782 ,Formula cost: ,58,788.42, coston:, 69,474.94 , contpf: ,94.87, Rango Inicial,  44164, final, 45938
IL6782 ,Formula cost: ,65,554.72, coston:, 64,179.51 , contpf: ,95.18, Rango Inicial,  45938, final, 55951
IL6782 ,Formula cost: ,98,799.80, coston:, 69,666.24 , contpf: ,98.52, Rango Inicial,  55951, final, 59457
IL6782 ,Formula cost: ,122,950.65, coston:, 138,620.16 , contpf: ,100.91, Rango Inicial,  59457, final, 67153
IL6782 ,Formula cost: ,197,691.83, coston:, 72,918.72 , contpf: ,102.85, Rango Inicial,  67153, final, 75261
IL6782 ,Formula cost: ,34,183.95, coston:, 67,327.68 , contpf: ,103.16, Rango Inicial,  3885, final, 13962
IL6782 ,Formula cost: ,5,158.11, coston:, 105,745.32 , contpf: ,106.03, Rango Inicial,  13962, final, 31825
IL6782 ,Formula cost: ,75,066.57, coston:, 110,033.28 , contpf: ,107.87, Rango Inicial,  31825, final, 37685
IL6782 ,Formula cost: ,84,028.43, coston:, 41,415.68 , contpf: ,86.45, Rango Inicial,  37685, final, 44164
IL6782 ,Formula cost: ,58,788.42, coston:, 69,474.94 , contpf: ,94.87, Rango Inicial,  44164, final, 45938
IL6782 ,Formula cost: ,65,554.72, coston:, 64,179.51 , contpf: ,95.18, Rango Inicial,  45938, final, 55951
IL6782 ,Formula cost: ,98,799.80, coston:, 69,666.24 , contpf: ,98.52, Rango Inicial,  55951, final, 59457
IL6782 ,Formula cost: ,122,950.65, coston:, 138,620.16 , contpf: ,100.91, Rango Inicial,  59457, final, 67153
IL6782 ,Formula cost: ,197,691.83, coston:, 72,918.72 , contpf: ,102.85, Rango Inicial,  67153, final, 75261
IL6782 ,Formula cost: ,34,183.95, coston:, 67,327.68 , contpf: ,103.16, Rango Inicial,  3885, final, 13962
IL6782 ,Formula cost: ,5,158.11, coston:, 105,745.32 , contpf: ,106.03, Rango Inicial,  13962, final, 31825
IL6782 ,Formula cost: ,75,066.57, coston:, 110,033.28 , contpf: ,107.87, Rango Inicial,  31825, final, 37685
IL6782 ,Formula cost: ,84,028.43, coston:, 41,415.68 , contpf: ,86.45, Rango Inicial,  37685, final, 44164
IL6782 ,Formula cost: ,58,788.42, coston:, 69,474.94 , contpf: ,94.87, Rango Inicial,  44164, final, 45938
IL6782 ,Formula cost: ,65,554.72, coston:, 64,179.51 , contpf: ,95.18, Rango Inicial,  45938, final, 55951
IL6782 ,Formula cost: ,98,799.80, coston:, 69,666.24 , contpf: ,98.52, Rango Inicial,  55951, final, 59457
IL6782 ,Formula cost: ,122,950.65, coston:, 138,620.16 , contpf: ,100.91, Rango Inicial,  59457, final, 67153
IL6782 ,Formula cost: ,197,691.83, coston:, 72,918.72 , contpf: ,102.85, Rango Inicial,  67153, final, 75261
IL6782 ,Formula cost: ,34,183.95, coston:, 67,327.68 , contpf: ,103.16, Rango Inicial,  3885, final, 13962
IL6782 ,Formula cost: ,5,158.11, coston:, 105,745.32 , contpf: ,106.03, Rango Inicial,  13962, final, 31825
IL6782 ,Formula cost: ,75,066.57, coston:, 110,033.28 , contpf: ,107.87, Rango Inicial,  31825, final, 37685
IL6782 ,Formula cost: ,84,028.43, coston:, 41,415.68 , contpf: ,86.45, Rango Inicial,  37685, final, 44164
IL6782 ,Formula cost: ,58,788.42, coston:, 69,474.94 , contpf: ,94.87, Rango Inicial,  44164, final, 45938
IL6782 ,Formula cost: ,65,554.72, coston:, 64,179.51 , contpf: ,95.18, Rango Inicial,  45938, final, 55951
IL6782 ,Formula cost: ,98,799.80, coston:, 69,666.24 , contpf: ,98.52, Rango Inicial,  55951, final, 59457
IL6782 ,Formula cost: ,122,950.65, coston:, 138,620.16 , contpf: ,100.91, Rango Inicial,  59457, final, 67153
IL6782 ,Formula cost: ,197,691.83, coston:, 72,918.72 , contpf: ,102.85, Rango Inicial,  67153, final, 75261
IL6782 ,Formula cost: ,34,183.95, coston:, 67,327.68 , contpf: ,103.16, Rango Inicial,  3885, final, 13962
IL6782 ,Formula cost: ,5,158.11, coston:, 105,745.32 , contpf: ,106.03, Rango Inicial,  13962, final, 31825
IL6782 ,Formula cost: ,75,066.57, coston:, 110,033.28 , contpf: ,107.87, Rango Inicial,  31825, final, 37685
IL6782 ,Formula cost: ,84,028.43, coston:, 41,415.68 , contpf: ,86.45, Rango Inicial,  37685, final, 44164
IL6782 ,Formula cost: ,58,788.42, coston:, 69,474.94 , contpf: ,94.87, Rango Inicial,  44164, final, 45938
IL6782 ,Formula cost: ,65,554.72, coston:, 64,179.51 , contpf: ,95.18, Rango Inicial,  45938, final, 55951
IL6782 ,Formula cost: ,98,799.80, coston:, 69,666.24 , contpf: ,98.52, Rango Inicial,  55951, final, 59457
IL6782 ,Formula cost: ,122,950.65, coston:, 138,620.16 , contpf: ,100.91, Rango Inicial,  59457, final, 67153
IL6782 ,Formula cost: ,197,691.83, coston:, 72,918.72 , contpf: ,102.85, Rango Inicial,  67153, final, 75261
IL6782 ,Formula cost: ,34,183.95, coston:, 67,327.68 , contpf: ,103.16, Rango Inicial,  3885, final, 13962
IL6782 ,Formula cost: ,5,158.11, coston:, 105,745.32 , contpf: ,106.03, Rango Inicial,  13962, final, 31825
IL6782 ,Formula cost: ,75,066.57, coston:, 110,033.28 , contpf: ,107.87, Rango Inicial,  31825, final, 37685
IL6782 ,Formula cost: ,84,028.43, coston:, 41,415.68 , contpf: ,86.45, Rango Inicial,  37685, final, 44164
IL6782 ,Formula cost: ,58,788.42, coston:, 69,474.94 , contpf: ,94.87, Rango Inicial,  44164, final, 45938
IL6782 ,Formula cost: ,65,554.72, coston:, 64,179.51 , contpf: ,95.18, Rango Inicial,  45938, final, 55951
IL6782 ,Formula cost: ,98,799.80, coston:, 69,666.24 , contpf: ,98.52, Rango Inicial,  55951, final, 59457
IL6782 ,Formula cost: ,122,950.65, coston:, 138,620.16 , contpf: ,100.91, Rango Inicial,  59457, final, 67153
IL6782 ,Formula cost: ,197,691.83, coston:, 72,918.72 , contpf: ,102.85, Rango Inicial,  67153, final, 75261
IL0129 ,Formula cost: ,31,461.96, coston:, 1,333,376.64 , contpf: ,1,543.94, Rango Inicial,  3878, final, 13956
IL0129 ,Formula cost: ,907,833.82, coston:, 504,966.40 , contpf: ,1,555.95, Rango Inicial,  13956, final, 19169
IL0129 ,Formula cost: ,262,955.11, coston:, 951,069.30 , contpf: ,1,558.44, Rango Inicial,  19169, final, 28854
IL0129 ,Formula cost: ,849,349.55, coston:, 737,329.50 , contpf: ,1,594.65, Rango Inicial,  28854, final, 31820
IL0129 ,Formula cost: ,1,151,338.97, coston:, 1,027,200.00 , contpf: ,1,647.91, Rango Inicial,  31820, final, 37679
IL0129 ,Formula cost: ,1,367,766.52, coston:, 368,838.74 , contpf: ,1,459.33, Rango Inicial,  37679, final, 44161
IL0129 ,Formula cost: ,2,050,361.68, coston:, 39,301.98 , contpf: ,1,459.26, Rango Inicial,  44161, final, 45926
IL0129 ,Formula cost: ,1,564,329.22, coston:, 558,319.42 , contpf: ,1,482.30, Rango Inicial,  45926, final, 45935
IL0129 ,Formula cost: ,419,489.92, coston:, 1,113,239.91 , contpf: ,1,537.34, Rango Inicial,  45935, final, 55963
IL0129 ,Formula cost: ,1,088,438.04, coston:, 1,224,907.20 , contpf: ,1,575.85, Rango Inicial,  55963, final, 59453
IL0129 ,Formula cost: ,1,523,845.26, coston:, 994,581.12 , contpf: ,1,582.92, Rango Inicial,  59453, final, 67139
IL0129 ,Formula cost: ,1,057,390.84, coston:, 773,716.80 , contpf: ,1,595.04, Rango Inicial,  67139, final, 75255
IL0129 ,Formula cost: ,808,686.04, coston:, 615,691.44 , contpf: ,1,635.34, Rango Inicial,  75255, final, 85051
IL0129 ,Formula cost: ,919,058.72, coston:, 890,292.00 , contpf: ,1,672.23, Rango Inicial,  85051, final, 88013
IL0129 ,Formula cost: ,1,809,350.72, coston:, 137,106.40 , contpf: ,1,675.09, Rango Inicial,  88013, final, 88014
IL6780 ,Formula cost: ,28,560.25, coston:, 2,439.20 , contpf: ,101.97, Rango Inicial,  3884, final, 35777
IL6780 ,Formula cost: ,25,594.94, coston:, 110,033.28 , contpf: ,107.73, Rango Inicial,  35777, final, 37684
IL6780 ,Formula cost: ,20,037.21, coston:, 172,542.71 , contpf: ,125.87, Rango Inicial,  37684, final, 43200
IL6780 ,Formula cost: ,114,163.39, coston:, 165,662.73 , contpf: ,77.84, Rango Inicial,  43200, final, 44163
IL6780 ,Formula cost: ,64,060.33, coston:, 266,419.45 , contpf: ,94.13, Rango Inicial,  44163, final, 45937
IL6780 ,Formula cost: ,66,830.15, coston:, 277,279.85 , contpf: ,92.16, Rango Inicial,  45937, final, 55950
IL6780 ,Formula cost: ,258,036.42, coston:, 279,909.00 , contpf: ,97.81, Rango Inicial,  55950, final, 59456
IL6780 ,Formula cost: ,394,851.94, coston:, 346,113.60 , contpf: ,100.17, Rango Inicial,  59456, final, 67144
IL6780 ,Formula cost: ,566,267.16, coston:, 292,977.00 , contpf: ,102.87, Rango Inicial,  67144, final, 75260
IL6782 ,Formula cost: ,34,183.95, coston:, 67,327.68 , contpf: ,103.16, Rango Inicial,  3885, final, 13962
IL6782 ,Formula cost: ,5,158.11, coston:, 105,745.32 , contpf: ,106.03, Rango Inicial,  13962, final, 31825
IL6782 ,Formula cost: ,75,066.57, coston:, 110,033.28 , contpf: ,107.87, Rango Inicial,  31825, final, 37685
IL6782 ,Formula cost: ,84,028.43, coston:, 41,415.68 , contpf: ,86.45, Rango Inicial,  37685, final, 44164
IL6782 ,Formula cost: ,58,788.42, coston:, 69,474.94 , contpf: ,94.87, Rango Inicial,  44164, final, 45938
IL6782 ,Formula cost: ,65,554.72, coston:, 64,179.51 , contpf: ,95.18, Rango Inicial,  45938, final, 55951
IL6782 ,Formula cost: ,98,799.80, coston:, 69,666.24 , contpf: ,98.52, Rango Inicial,  55951, final, 59457
IL6782 ,Formula cost: ,122,950.65, coston:, 138,620.16 , contpf: ,100.91, Rango Inicial,  59457, final, 67153
IL6782 ,Formula cost: ,197,691.83, coston:, 72,918.72 , contpf: ,102.85, Rango Inicial,  67153, final, 75261
IL0469 ,Formula cost: ,59,999.70, coston:, 568,872.72 , contpf: ,136.03, Rango Inicial,  3883, final, 13958
IL0469 ,Formula cost: ,378,302.88, coston:, 393,737.76 , contpf: ,138.14, Rango Inicial,  13958, final, 19171
IL0469 ,Formula cost: ,328,210.51, coston:, 575,991.00 , contpf: ,137.25, Rango Inicial,  19171, final, 28855
IL0469 ,Formula cost: ,781,774.71, coston:, 268,089.12 , contpf: ,138.72, Rango Inicial,  28855, final, 31821
IL0469 ,Formula cost: ,882,423.87, coston:, 1,109.83 , contpf: ,138.72, Rango Inicial,  31821, final, 36189
IL0469 ,Formula cost: ,852,459.51, coston:, 137,844.72 , contpf: ,139.85, Rango Inicial,  36189, final, 37681
IL0469 ,Formula cost: ,106,288.83, coston:, 363,882.83 , contpf: ,140.77, Rango Inicial,  37681, final, 55948
IL0469 ,Formula cost: ,215,659.58, coston:, 262,023.84 , contpf: ,140.33, Rango Inicial,  55948, final, 59455
IL0469 ,Formula cost: ,59,219.27, coston:, 520,640.64 , contpf: ,139.19, Rango Inicial,  59455, final, 67141
IL0469 ,Formula cost: ,64,026.78, coston:, 822,013.92 , contpf: ,145.83, Rango Inicial,  67141, final, 75257
IL0469 ,Formula cost: ,356,837.00, coston:, 418,897.44 , contpf: ,147.62, Rango Inicial,  75257, final, 85053
IL0475 ,Formula cost: ,53,990.45, coston:, 69,099.48 , contpf: ,70.50, Rango Inicial,  13961, final, 19174
IL0475 ,Formula cost: ,47,304.32, coston:, 134,466.48 , contpf: ,69.51, Rango Inicial,  19174, final, 28858
IL0475 ,Formula cost: ,163,419.94, coston:, 70,489.44 , contpf: ,70.39, Rango Inicial,  28858, final, 31824
IL0475 ,Formula cost: ,188,366.39, coston:, 1,267.10 , contpf: ,70.39, Rango Inicial,  31824, final, 36188
IL0475 ,Formula cost: ,55,327.36, coston:, 40,759.79 , contpf: ,54.66, Rango Inicial,  36188, final, 44162
IL0475 ,Formula cost: ,122,923.78, coston:, 66,375.77 , contpf: ,58.77, Rango Inicial,  44162, final, 45936
IL0475 ,Formula cost: ,9,168.19, coston:, 62,245.39 , contpf: ,63.31, Rango Inicial,  45936, final, 55949
IL0475 ,Formula cost: ,25,260.66, coston:, 68,934.24 , contpf: ,68.71, Rango Inicial,  55949, final, 59466
IL0475 ,Formula cost: ,8,588.16, coston:, 136,857.60 , contpf: ,70.30, Rango Inicial,  59466, final, 67143
IL0475 ,Formula cost: ,8,224.82, coston:, 3,320.79 , contpf: ,69.97, Rango Inicial,  67143, final, 71877
IL0475 ,Formula cost: ,7,907.00, coston:, 276.73 , contpf: ,69.95, Rango Inicial,  71877, final, 72220
IL0475 ,Formula cost: ,7,344.37, coston:, 150,634.08 , contpf: ,70.87, Rango Inicial,  72220, final, 74047
IL0475 ,Formula cost: ,11,552.48, coston:, 2,549.68 , contpf: ,70.87, Rango Inicial,  74047, final, 81833
IL0475 ,Formula cost: ,13,606.10, coston:, 2,195.55 , contpf: ,70.86, Rango Inicial,  81833, final, 82557
IL0475 ,Formula cost: ,5,243.60, coston:, 146,422.08 , contpf: ,75.16, Rango Inicial,  82557, final, 85056
IL0475 ,Formula cost: ,75,682.53, coston:, 143,758.80 , contpf: ,74.36, Rango Inicial,  85056, final, 88012
IL0129 ,Formula cost: ,31,461.96, coston:, 1,333,376.64 , contpf: ,1,543.94, Rango Inicial,  3878, final, 13956
IL0129 ,Formula cost: ,907,833.82, coston:, 504,966.40 , contpf: ,1,555.95, Rango Inicial,  13956, final, 19169
IL0129 ,Formula cost: ,262,955.11, coston:, 951,069.30 , contpf: ,1,558.44, Rango Inicial,  19169, final, 28854
IL0129 ,Formula cost: ,849,349.55, coston:, 737,329.50 , contpf: ,1,594.65, Rango Inicial,  28854, final, 31820
IL0129 ,Formula cost: ,1,151,338.97, coston:, 1,027,200.00 , contpf: ,1,647.91, Rango Inicial,  31820, final, 37679
IL0129 ,Formula cost: ,1,367,766.52, coston:, 368,838.74 , contpf: ,1,459.33, Rango Inicial,  37679, final, 44161
IL0129 ,Formula cost: ,2,050,361.68, coston:, 39,301.98 , contpf: ,1,459.26, Rango Inicial,  44161, final, 45926
IL0129 ,Formula cost: ,1,564,329.22, coston:, 558,319.42 , contpf: ,1,482.30, Rango Inicial,  45926, final, 45935
IL0129 ,Formula cost: ,419,489.92, coston:, 1,143,415.22 , contpf: ,1,567.61, Rango Inicial,  45935, final, 55963
IL0129 ,Formula cost: ,1,109,866.44, coston:, 1,224,907.20 , contpf: ,1,590.45, Rango Inicial,  55963, final, 59453
IL0129 ,Formula cost: ,1,537,960.56, coston:, 994,581.12 , contpf: ,1,591.79, Rango Inicial,  59453, final, 67139
IL0129 ,Formula cost: ,1,063,317.31, coston:, 773,716.80 , contpf: ,1,600.20, Rango Inicial,  67139, final, 75255
IL0129 ,Formula cost: ,811,303.39, coston:, 615,691.44 , contpf: ,1,638.34, Rango Inicial,  75255, final, 85051
IL0129 ,Formula cost: ,920,747.53, coston:, 890,292.00 , contpf: ,1,673.79, Rango Inicial,  85051, final, 88013
